"Reference","Value","PartNumber","Qty"
"C1,C2","10u","TAP106K016CRS","2"
"C3,C4,C5,C6,C7,C8,C9","47n","FG28X7R1H473KNT06","7"
"E1","Conn_01x03","PH1-03-UA","1"
"J1,J2,J3,J4,J5,J6","Conn_SIMM30","","6"
"RN1,RN2,RN3,RN4","33","4610X-102-330LF","4"
"RN5,RN6","8.2k","4610X-101-822LF","2"
"U1","74F244","SN74F244N","1"
"U2,U4","74F32","SN74F32N","2"
"U3","74F00","SN74F00N","1"
"U5,U6","74F245","SN74F245N","2"
"U7","74F10","SN74F10N","1"
